sample_id	fastq_1	fastq_2	layout	assay	mark_or_factor	condition	replicate	batch	treatment	control_id	is_control	organism	genome_id	sra_study	bioproject	sra_runs	library_name	notes
SRX395498	SRR1055214.fastq.gz		single	ChIP-seq	H3K27me3	cercariae	1	BB3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1055214	ChIPSeq_cerca_BB3_lib_H3K27Me3	no matched input/control available in SRP034587 RunInfo
SRX414495	SRR1087939.fastq.gz		single	ChIP-seq	H3K4me3	cercariae	1	BB3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1087939	ChIPSeq_cerca_BB3_lib_H3K4Me3	no matched input/control available in SRP034587 RunInfo
SRX414496	SRR1087940.fastq.gz		single	ChIP-seq	H3K9ac	cercariae	1	BB3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1087940	ChIPSeq_cerca_BB3_lib_H3K9Ac	no matched input/control available in SRP034587 RunInfo
SRX422999	SRR1103704.fastq.gz		single	ChIP-seq	H3K9me3	cercariae	1	BB3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1103704	ChIPSeq_cerca_BB3_lib_H3K9Me3	no matched input/control available in SRP034587 RunInfo
SRX423996	SRR1104925.fastq.gz		single	ChIP-seq	H3K27me3	cercariae	2	BG3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1104925	ChIPSeq_cerca_BG3_lib_H3K27Me3	no matched input/control available in SRP034587 RunInfo
SRX424005	SRR1104934.fastq.gz		single	ChIP-seq	H3K4me3	cercariae	2	BG3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1104934	ChIPSeq_cerca_BG3_lib_H3K4Me3	no matched input/control available in SRP034587 RunInfo
SRX424549	SRR1105794.fastq.gz		single	ChIP-seq	H3K9ac	cercariae	2	BG3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1105794	ChIPSeq_cerca_BG3_lib_H3K9Ac	no matched input/control available in SRP034587 RunInfo
SRX425465	SRR1106708.fastq.gz		single	ChIP-seq	H3K9me3	cercariae	2	BG3	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1106708	ChIPSeq_cerca_BG3_lib_H3K9Me3	no matched input/control available in SRP034587 RunInfo
SRX426328	SRR1107779.fastq.gz		single	ChIP-seq	H3K27me3	adult	1	C	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1107779	ChIPSeq_adult_C_lib_H3K27Me3	no matched input/control available in SRP034587 RunInfo
SRX426380	SRR1107840.fastq.gz		single	ChIP-seq	H3K4me3	adult	1	C	none		false	Schistosoma mansoni	SM_V5	SRP034587	PRJNA219440	SRR1107840	ChIPSeq_adult_C_lib_H3K4Me3	no matched input/control available in SRP034587 RunInfo
